O2_MASKS|DLC|R1|ST
EXPLOSIVE_REPLICATOR|DLC|R4
FIRE_EXTINGUISHERS|DLC|R3
FLEET_DISTRACTION|DLC|R3
TELEPORT_HEAL|DLC|R4
BATTERY_BOOSTER|DLC|R5
DEFENSE_SCRAMBLER|DLC|R4
BACKUP_DNA|DLC|R1
HACKING_STUN|DLC|R2
LIFE_SCANNER|DLC|R3
ZOLTAN_BYPASS|DLC|R4
SCRAP_COLLECTOR|R1
ADV_SCANNERS|R2
AUTO_COOLDOWN|R3
SHIELD_RECHARGE|R2
WEAPON_PREIGNITE|R5
FTL_BOOSTER|R2
FTL_JUMPER|R2
DRONE_RECOVERY|R3
FTL_JAMMER|R2
STASIS_POD|R4
CLOAK_FIRE|R3
SYSTEM_CASING|R5
ION_ARMOR|R3
DRONE_SPEED|R2
REPAIR_ARM|R4

AE_REQUISITION|R3

AE_REPAIR_KIT|R4
AE_FUEL_RECYCLE|R4
AE_AMMO_MANUFACTURER|R4
AE_DRONE_MANUFACTURER|R4
AE_ADV_THRUSTERS|R4
AE_BEACON_KIT|R4
AE_SECTOR_SCANNER|R4
